sunlit times,,
Start Time (UTCG),Stop Time (UTCG),Duration (sec)
00:00.0,14:02.0,2650442.021
15:21.7,12:35.6,10633.915
16:39.1,11:45.7,10506.577
17:20.1,11:05.9,10425.783
17:51.0,10:31.7,10360.648
18:16.5,10:01.1,10304.584
18:38.4,09:33.1,10254.677
18:57.9,09:07.2,10209.33
19:15.3,08:42.9,10167.541
19:31.3,08:20.0,10128.637
19:46.0,07:58.2,10092.126
19:59.7,07:37.4,10057.661
20:12.5,07:17.5,10024.958
20:24.5,06:58.3,9993.806
20:35.9,06:39.9,9964.022
20:46.6,06:22.1,9935.474
20:56.9,06:04.9,9908.025
21:06.6,05:48.2,9881.588
21:15.9,05:32.0,9856.072
21:24.9,05:16.3,9831.403
21:33.4,05:00.9,9807.516
21:41.6,04:46.0,9784.358
21:49.5,04:31.4,9761.869
21:57.1,04:17.2,9740.021
22:04.5,04:03.2,9718.758
22:11.6,03:49.6,9698.051
22:18.4,03:36.3,9677.872
22:25.0,03:23.2,9658.19
22:31.4,03:10.4,9638.975
22:37.6,02:57.8,9620.198
22:43.7,02:45.5,9601.842
22:49.5,02:33.4,9583.882
22:55.2,02:21.5,9566.298
23:00.8,02:09.8,9549.07
23:06.2,01:58.4,9532.186
23:11.5,01:47.1,9515.615
23:16.6,01:36.0,9499.363
23:21.7,01:25.1,9483.398
23:26.6,01:14.3,9467.725
23:31.4,01:03.7,9452.329
23:36.1,00:53.3,9437.202
23:40.6,00:42.9,9422.336
23:45.0,00:32.7,9407.717
23:49.3,00:22.7,9393.349
23:53.5,00:12.7,9379.224
23:57.5,00:02.8,9365.342
24:01.3,59:53.0,9351.682
24:05.1,59:43.3,9338.258
24:08.7,59:33.7,9325.059
24:12.1,59:24.2,9312.077
24:15.4,59:14.7,9299.309
24:18.6,59:05.4,9286.757
24:21.7,58:56.1,9274.399
24:24.7,58:46.9,9262.24
24:27.6,58:37.9,9250.261
24:30.4,58:28.9,9238.464
24:33.1,58:19.9,9226.826
24:35.8,58:11.1,9215.352
24:38.3,58:02.3,9204.022
24:40.8,57:53.6,9192.828
24:43.2,57:45.0,9181.761
24:45.6,57:36.4,9170.818
24:47.8,57:27.8,9159.983
24:50.0,57:19.2,9149.259
24:52.0,57:10.7,9138.632
24:54.0,57:02.1,9128.104
24:55.9,56:53.6,9117.67
24:57.7,56:45.0,9107.325
24:59.4,56:36.4,9097.07
25:01.0,56:27.8,9086.894
25:02.5,56:19.3,9076.803
25:03.9,56:10.7,9066.791
25:05.3,56:02.1,9056.859
25:06.5,55:53.5,9047.004
25:07.8,55:45.0,9037.225
25:08.9,55:36.4,9027.523
25:10.0,55:27.9,9017.897
25:11.0,55:19.4,9008.348
25:12.0,55:10.9,8998.877
25:12.9,55:02.4,8989.486
25:13.8,54:53.9,8980.173
25:14.6,54:45.5,8970.943
25:15.3,54:37.1,8961.792
25:16.0,54:28.7,8952.722
25:16.7,54:20.4,8943.736
25:17.3,54:12.1,8934.823
25:17.9,54:03.9,8925.987
25:18.5,53:55.7,8917.224
25:19.1,53:47.6,8908.53
25:19.6,53:39.5,8899.91
25:20.2,53:31.5,8891.361
25:20.7,53:23.5,8882.868
25:21.2,53:15.6,8874.445
25:21.6,53:07.7,8866.095
25:22.0,52:59.8,8857.807
25:22.4,52:52.0,8849.591
25:22.8,52:44.2,8841.447
25:23.0,52:36.4,8833.378
25:23.2,52:28.6,8825.387
25:23.4,52:20.8,8817.47
25:23.4,52:13.0,8809.638
25:23.3,52:05.2,8801.89
25:23.2,51:57.4,8794.229
25:22.9,51:49.6,8786.658
25:22.6,51:41.7,8779.17
25:22.1,51:33.9,8771.775
25:21.5,51:26.0,8764.473
25:20.8,51:18.0,8757.255
25:20.0,51:10.1,8750.13
25:19.0,51:02.1,8743.089
25:18.0,50:54.2,8736.134
25:16.9,50:46.2,8729.261
25:15.7,50:38.2,8722.471
25:14.5,50:30.2,8715.753
25:13.1,50:22.2,8709.11
25:11.8,50:14.3,8702.543
25:10.3,50:06.4,8696.046
25:08.9,49:58.5,8689.616
25:07.5,49:50.7,8683.256
25:06.0,49:43.0,8676.956
25:04.6,49:35.3,8670.714
25:03.2,49:27.8,8664.532
25:01.9,49:20.3,8658.409
25:00.6,49:12.9,8652.333
24:59.3,49:05.6,8646.306
24:58.1,48:58.5,8640.324
24:57.0,48:51.4,8634.389
24:56.0,48:44.5,8628.486
24:55.0,48:37.6,8622.627
24:54.1,48:30.9,8616.809
24:53.2,48:24.2,8611.021
24:52.4,48:17.7,8605.27
24:51.7,48:11.3,8599.553
24:51.1,48:04.9,8593.871
24:50.5,47:58.7,8588.217
24:49.9,47:52.5,8582.596
24:49.4,47:46.4,8577.01
24:49.0,47:40.4,8571.45
24:48.6,47:34.5,8565.932
24:48.2,47:28.6,8560.435
24:47.9,47:22.8,8554.97
24:47.6,47:17.1,8549.541
24:47.3,47:11.4,8544.145
24:47.0,47:05.8,8538.782
24:46.8,47:00.2,8533.454
24:46.5,46:54.7,8528.16
24:46.3,46:49.2,8522.9
